class,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,MeanFluxSep,cluster
toi,9.73597,3747,0.533024,0.057851,1,0,cluster2
toi,8.8523,5920,1.1179,1.585545,1,0,cluster1
not,7.3115,5255.83,0.83563,0.480051,1,0,cluster1
not,11.9883,3256,0.299066,0.009057,1,0,cluster2
not,6.8545,5528,0.758749,0.484355,0,0,cluster4
not,10.4383,5051.02,0.8168,0.391239,1,0,cluster4
not,5.926,4945,0.878628,0.415882,1,0,cluster1
not,6.7567,5734.96,0.868334,0.734835,1,0,cluster1
not,9.6661,5961,0.939446,1.00396,1,0,cluster4
not,8.1776,5093,0.695319,0.293061,0,0,cluster4
not,10.3061,4945.44,0.882688,0.419884,1,0,cluster4
toi,11.2932,6421.5,1.70005,5.076394,2,6085.170051,cluster3
toi,8.7435,6553,1.45696,4.043355,1,0,cluster1
not,8.0891,4319.62,0.630123,0.124545,1,0,cluster4
not,10.5294,5515,0.767258,0.490637,1,0,cluster4
not,10.3578,4330.9,0.562639,0.100338,1,0,cluster2
toi,12.2397,6096.08,1.22623,2.145026,1,0,cluster4
toi,8.3643,5709.6,1.4981,2.463714,1,0,cluster1
not,8.0469,5843.1,1.17196,1.44242,1,0,cluster1
not,12.3016,2816,0.12437,0.000876,2,19039.49533,cluster2
not,9.3147,5518,0.790496,0.52194,1,0,cluster4
not,9.17781,3714,0.532571,0.04862,1,0,cluster2
not,8.3874,6033,1.03757,1.28488,1,0,cluster1
