class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity
1,412961700,6.725,10817,5.78884,473.9105439
0,78110891,7.427,5611,0.919324,0.754733
1,405454160,10.4397,5383,0.983025,0.838132353
0,177255827,10.8436,4082,0.654205,0.107057
0,278992674,9.2814,5550,0.935011,0.747309
0,77206826,8.0232,5884.3,0.90687,0.88831
1,42755801,9.1672,9900,3.82895,145.4742507
0,404452681,9.65678,3406,0.406633,0.0200483
0,41170928,9.4992,6227,1.07036,1.55193
0,328465904,10.6701,3022,0.197919,0.00294339
0,135162188,7.5493,4686,0.807846,0.283505
0,101774867,10.2904,3287,0.30694,0.00990833
0,301049767,6.7301,5983.1,1.14456,1.51244
0,339771969,8.9909,4803,0.807518,0.312644
0,279088442,10.1394,5190.06,0.784881,0.40271
1,5772442,10.351,5806,2.54901,7.626708802
1,92359850,9.65521,6342,1.56755,4.106139651
0,32636530,7.2415,5328,0.862275,0.539812
0,442893646,7.7516,4727.43,0.70008,0.220541
0,149971828,8.3656,6321,1.3527,2.63174
1,148479278,9.3777,7323,1.52949,6.949209114
0,281498595,6.6714,5718.34,0.945215,0.860668
1,219195044,11.5436,3731,0.473141,0.044809296
0,300443794,7.289,6223,2.05347,5.69731
0,140894354,7.7105,5971.43,1.25455,1.80296
1,145027461,10.4029,5175,7.68129,43.71149904
0,348993084,9.4773,5323.52,0.79701,0.459639
0,147407292,5.0176,5935.88,1.03877,1.20692
0,152475404,11.2541,3102,0.234699,0.00459499
1,15445551,10.349,6458,1.56803,4.417604767
0,270582021,6.6411,4736.95,0.761302,0.262908
0,278684081,6.756,6697.9,2.14668,8.3557
0,278895338,9.8144,5117,0.841089,0.436959
0,272546396,8.5288,5807,1.08129,1.1978
0,55604793,10.049,5709.62,1.01883,0.993857
1,307210830,9.41242,3429,0.31416,0.01409476
0,349274728,9.2334,6494,1.24636,2.48905
1,451606970,10.0329,5262.4,0.937973,0.696950701
1,365639282,13.084,3692,0.561478,0.060505969
1,83210867,9.94025,5997,1.73248,4.010131509
0,231698181,3.7002,4611.06,0.738002,0.221827
1,422655579,10.1638,6180,2.14325,6.92126576
0,140899825,8.5035,5901.1,1.44579,2.2837
0,369395755,6.4443,5305,0.802892,0.459992
0,207141131,8.1796,5081,0.802633,0.386835
0,396697919,9.54199,3457,0.427084,0.0234703
0,302529168,7.5685,7857,1.35422,6.29652
0,266744225,8.33732,3181,0.333227,0.0102431
0,278730120,7.7209,6102.84,1.62709,3.30862
0,279571543,9.0497,5564,0.93187,0.749814
0,375064476,7.7415,6011.96,1.42722,2.39741
