class,TIC_ID,TESSMagnitude,StarTemp,StarRadius,StarLuminosity,NFluxRegions,PPPeriod,TransitDepth,TransitDuration,TransitEdgeTime,PlanetRadius,StarGap,StarMass
0,452533640,8.6454,5516,0.921509,0.708257,1,0.0348035080685454,18.2938318232502,0.998238577544122,9.12640126461992e-06,0.430276567914415,1516,0.917376728258838
0,20208418,11.3035,3311,0.303473,0.00997175,1,0.0314673374377439,867.830854419439,0.0004334231948118,1.36251823598575e-05,0.97596304841679,689,0.255511373969581
0,260004324,10.1428,3596,0.504068,0.0382782,1,0.0204651027492616,281.071232449861,1.00019886795787,0.0204606032837766,0.922556770289218,404,0.442321323905917
0,300382764,10.1773,4704,0.619048,0.169049,1,0.0297483717825736,87.9987232117426,0.999699621956097,0,0.633954784519422,704,0.641214229625263
0,141609430,7.8232,5895,1.08831,1.28864,1,0.014183192156862,41.3749891262022,0.000424967595957257,6.02618482884578e-06,0.764218135462112,1895,1.0654495786577
0,261261527,8.1462,5982,1.09211,1.37597,1,0.0686775917098441,149.17738398656,0,0,1.45617526864928,1982,1.0830593134384
0,370236000,8.2113,7760,1.569,8.0424,1,0.0449379927211656,263.169852974178,0.465619080740405,0.0151891732925054,2.77866880889857,3760,1.68401679075452
0,200362199,10.3342,3414,0.502957,0.0309607,1,0.0213532908811897,292.776605987911,0.998534061916079,0.00267037953166429,0.939495742627601,586,0.418157996816597
0,418096656,9.79122,3266,0.30505,0.00953897,1,0.0227266172942344,303.947271957024,0.995011458948068,0.000274103144079919,0.580585155828465,734,0.250629403451303
1,381976956,9.0099,5091,6.51851,29.48458509,1,0.129532113299566,52.44934205839,1.01576962544082,0.129403579403752,5.15364063736138,1091,2.38854498090374
1,269450900,7.3163,8688,2.64617,41.20981759,2,0.772748005953743,308.877862761146,0.166530617306079,0.0722080984672816,5.07699700041343,4688,2.62831795481433
0,280790195,9.0964,5055,0.837932,0.413044,1,0.0578862104870541,174.659246778384,0.997678272600357,0.000130535671294524,1.20892773480872,1055,0.801676364141465
0,167755378,9.7913,5070,0.799286,0.380304,1,0.0625972604255708,326.277686957408,0.999674337598569,4.3101120608526e-06,1.57612866305248,1070,0.785294802963461
0,278897420,10.7522,5195.76,0.750171,0.369497,1,0.0649072418092149,98.6508794580649,0.999497020702256,0,0.813404415178586,1195.76,0.779655468113609
0,140580497,12.3873,3471,0.317436,0.0131773,1,0.0226859836860592,865.550632283569,1.00030378951519,0.0226812024817334,1.01952572969681,529,0.288431619468754
0,300035305,10.034,5363,0.934885,0.651392,1,0.0727495544880713,189.672381426419,0.999587281816926,9.29239384713468e-06,1.40558143954239,1363,0.898381096689518
0,271889486,10.6292,5509,0.79278,0.521544,1,0.0663670728742832,170.728419280219,1.00424812116911,0.0663408399317901,1.1308405381501,1509,0.849811763248646
0,278897257,13.0419,3158,0.258277,0.00597743,1,0.0632123105859161,1247.02552529181,0.999098125081548,0.000253776993508825,0.995678612294638,842,0.20453932102322
0,354518617,8.2731,4023,0.661076,0.103133,1,0.0179807367743791,127.340814781517,0.995383558524102,0.0001447600446162,0.814387269856864,23,0.566695041630129
0,306668667,10.7685,4182,0.680057,0.127444,2,0.0609829000297912,87.7611401220698,0.999655812517934,0,0.695492125409293,182,0.597488909629456
0,234330747,8.8695,5228,0.792464,0.422664,1,0.0541804677536791,169.243388718415,0.998109183143988,0.000334201152807516,1.12546287058853,1228,0.806304000738171
0,237340884,8.486,5845.88,0.939452,0.928632,1,0.0184088432930389,194.907981585635,0.998615526524812,0.000826013862006557,1.43180930646037,1845.88,0.981659584641204
0,219145177,8.7585,5983,1.26751,1.85469,1,0.0583296389041697,0,0,0,0,1983,1.16699187565825
0,29828903,10.6782,4928.14,0.771648,0.316421,1,0.0600041430846609,126.622242141961,0.914789753929009,0.0546942487981774,0.947916336843354,928.14,0.750008740587944
0,381949122,4.2176,6153.02,1.06554,1.46617,2,357.055262448401,244.800880116787,4690.89754961808,13.1374861188018,1.82000264273764,2153.02,1.10038859943889
1,49710555,12.3035,5920,1.33825,2.27220385,1,157.548973783208,1076.86257988472,7725.56338576235,49.0339506971017,4.79416711425641,1920,1.22775531487878
0,255632493,8.1445,6173.41,1.37346,2.46848,1,0.0342945862634337,0,0,0,0,2173.41,1.25345112138888
0,176985618,10.1244,5885,0.948463,0.972124,1,0.0587212868484376,110.59748313239,1.0033055403962,0.0587037063259323,1.08890198371629,1885,0.992956941749134
0,260241479,8.8573,6530,1.33285,2.91011,1,0.0617743560455131,229.639653143668,0.999633906081152,6.16234732169821e-05,2.20495886071621,2530,1.30610277244538
0,149930150,9.7004,5489.67,0.851464,0.593216,1,0.0316622045462531,268.359884238974,0.999459739323697,0.000342736902269626,1.52272284064659,1489.67,0.877613335969565
1,260647166,8.6522,5723.87,0.864173,0.828030612,1,0.0242875599069398,136.622186260191,0.00203516139499799,3.55345285230344e-05,1.10269925744095,1723.87,0.953919217715313
0,350298314,10.4281,5468.18,0.815838,0.536135,1,11.9018209181047,10158.931037558,10.3513568213105,0.860652902473142,8.97684465215231,1468.18,0.855694104735053
0,204291254,9.61874,3622,0.452514,0.0317506,1,0.0215213277995263,0,0,0,0,378,0.422763451685721
1,101948569,10.7011,4316,0.702945,0.177114614,1,0.0338445980427889,601.570695557326,0.00118469111759271,4.00495196844603e-05,1.88217697290491,316,0.648729428262812
0,219998026,8.0471,5551,0.920397,0.724654,1,0.0731185877261238,233.376294260501,0.999276763204956,0.0166264471272437,1.53496804134796,1551,0.922640837950132
1,308994098,8.9914,6957,1.4608,5.163634503,2,0.801586463028686,101.529618816711,0,0,1.60687802505285,2957,1.50743596808041
0,235044662,9.5564,5567,0.852469,0.628835,1,0.0533215395482319,181.858609828163,0.000344442487381244,1.83141332152123e-05,1.25499299539257,1567,0.890500518086617
0,382043075,8.8976,5789,1.22989,1.53053,1,8.81616218695083,172.889073816869,78.6484958575355,8.8076265378173,1.76541095733142,1789,1.11227060958077
1,156991337,10.234,5846,1.07907,1.404819224,1,0.0649569107824082,276.739725057147,0.995740650163806,0.0233443381159802,1.95966188010847,1846,1.08869219750431
0,358290717,6.2783,5887.01,1.0486,1.18984,2,1.86733181335848,236.11474618667,0.999714844674842,0,1.75900543962567,1887.01,1.04441269291338
0,220419648,8.124,6363,1.21468,2.17903,1,0.0202899074433837,103.941904215244,0.999988306274108,0.0202813207576601,1.35192621277092,2363,1.21497069348457
0,141708546,8.9569,5797,0.939088,0.897264,1,0.0698395679173586,103.846208919883,1.00464688774592,0.0698181560321842,1.04471393549004,1797,0.973262658201558
0,260356437,11.6556,3549,0.407448,0.0237281,1,0.0654905909867821,0,0,0,0,451,0.372479374690118
0,150165657,8.658,7473,1.53903,6.65531,1,0.0460151677984961,1533.92431538346,1.00167491294533,0.0389213618390814,6.58028683575685,3473,1.60617208014629
0,149599971,9.0401,5648,1.22731,1.38096,1,0.0675600138051825,86.482477451934,0.00193819854847155,0.000130349758061308,1.24598871102002,1648,1.08403991833563
0,290303700,8.0346,5525.77,0.89838,0.677931,1,0.0165085621500581,0,0,0,0,1525.77,0.907394982290807
1,261108236,11.8835,4095,0.649613,0.122577568,1,0.0581218069487479,452.748951608368,1.00248857334339,0.0580702775428065,1.50896514259286,95,0.59170160883037
0,386240361,10.9999,3329,0.239734,0.0063593,1,0.0293870838703531,586.21564269345,0.999167363060892,0.00176498854246075,0.633656810208068,671,0.210121362142949
0,271972463,6.8134,6201.51,1.44135,2.76838,1,0.084861522573586,0,0,0,0,2201.51,1.28990113756787
0,150359892,10.0975,4473,0.644017,0.149584,1,0.0344033064602413,604.504041118427,0.000121299605267031,4.16817409477075e-06,1.72859283805817,473,0.621901043619972
0,382244825,10.106,5581,0.956986,0.800486,1,0.0142281451889841,258.933545350957,0.649747896194081,0.00924283628244161,1.68110762062317,1581,0.945885210799898
0,4510663,9.08769,3805,0.634917,0.0761285,1,0.0584110981129551,124.402556965535,0.997766786275729,5.60741515732962e-05,0.773085241576962,195,0.525275104927711
0,220481232,10.9155,3688,0.534497,0.0476156,2,0.0634989472224257,0,0,0,0,312,0.467129522301235
1,309791156,10.9621,4666.1,0.88568,0.384110168,1,0.060904841727541,0,0,0,0,666.1,0.787252323236473
1,100990000,7.757,6161,1.11672,1.856006035,1,0.0578214709623027,72.4344349041108,0.997286310928068,0.000256125380554975,1.03755853186065,2161,1.16719883661421
0,394134586,10.2819,3461,0.352722,0.016083,1,0.0620808819046154,0,0,0,0,539,0.314535180997652
0,259408567,9.5423,4191,0.745552,0.154497,1,0.0153440570483443,46.1287429739256,0.997999114523164,4.05788881844973e-05,0.55278916645852,191,0.626945822187421
0,238027971,10.5178,3640,0.543755,0.0467635,1,0.0331309335215205,373.090732482541,1.00046994363621,0.0331101595363628,1.1465850311439,360,0.465025482546983
0,177258735,7.5412,6283.39,1.35609,2.58253,1,0.0343123973496569,0,0,0,0,2283.39,1.26768497744612
0,158111564,5.8391,6180,1.16448,1.78202,1,0.0649381557984524,28.9517080683238,0.686785561257159,0.0444113068912053,0.684013861773819,2180,1.15538877386176
0,401841366,8.0995,5685,0.856253,0.689955,1,0.0313744475894179,0,0,0,0,1685,0.911391956862258
0,469936356,7.3602,5632.11,0.943772,0.807446,1,0.0200362435289608,53.0116107987949,0.995881571044818,0.000611009761933482,0.75015042977835,1632.11,0.947934592086654
0,372816349,10.7985,3412,0.389836,0.0185564,1,0.0336644402309475,277.22743430214,0.00143390206984258,4.82168666157655e-05,0.70859130454047,588,0.334719351583785
0,238007651,8.6288,5653,0.956,0.840865,1,0.0226147447519475,0,0,0,0,1653,0.957594336739798
